GDP_per_capita,log.GDP_per_capita.,HealthExpenditure_percentofGDP,Population_Growth,Infant_Mortality_per1000livebirth,Inflation_ConsumerPrices_percent,Current_education_expenditure_percentofGDP,Life_expectancy_Birth_inyears
2314.05,3.36,4.19,2.55,60.6,0.36,3.24,57.42
672.48,2.83,5.23,2.63,49.2,3.91,3.2,63.39
485.67,2.69,9.4,2.38,48,0.63,3.2,64.49
1894.01,3.28,3.48,1.2,34.5,3.33,3.2,69.41
4478.42,3.65,5.71,1.6,21.4,3.75,3.14,74.06
1768.71,3.25,4.43,2.25,54.75,2.29,3.13,62.19
1585.24,3.2,3.53,2.61,51.6,1.07,3.13,58.92
3252.11,3.51,4.4,1.4,22.2,5.21,3.13,71.1
1704.14,3.23,4,2.7,64.02,1.78,3.07,57.76
783.64,2.89,7.54,2.64,27.3,-0.31,3.07,68.7
7296.88,3.86,3.79,0.32,8.1,1.06,3.06,76.93
2606.62,3.42,2.14,2.58,35.7,1.15,3,64.29
3893.86,3.59,2.87,1.13,20.9,3.2,3,71.51
4308.15,3.63,7.79,1.82,13.8,4.46,2.98,74.41
1241.83,3.09,2.49,2.73,60.4,0.64,2.93,61.47
7959.01,3.9,2.75,2.6,32.2,4.75,2.93,66.19
15545,4.19,7.27,1.69,13.2,0.76,2.88,78.33
523.95,2.72,4.79,2.67,37.5,8.59,2.87,66.68
66679.05,4.82,4.46,0.47,2.1,0.44,2.65,83.3
16679.59,4.22,5.23,0.89,6,1.21,2.64,76.89
9812.63,3.99,2.92,1.31,9.2,6.02,2.62,73.15
710.27,2.85,6.74,2.45,63.3,23.56,2.58,63.73
8058.44,3.91,8.35,0.59,6.4,6.08,2.52,78.88
4739.84,3.68,3.51,0.87,19.3,2.27,2.46,72.86
955.11,2.98,3.93,2.83,65.1,9.83,2.38,61.19
732.72,2.86,3.09,2.95,36.8,6.52,2.37,61.74
33290.03,4.52,6.25,1.01,11.1,2.27,2.31,73.75
726.15,2.86,4.1,3.02,70.8,4.27,2.26,53.98
4220.54,3.63,10.03,0.24,11,2.52,2.26,74.95
1512.13,3.18,6.03,1.49,23.7,2.46,2.16,69.57
802.77,2.9,7,2.49,54,0.38,2.14,58
4059.21,3.61,3.76,1.05,6.4,2.14,2.14,76.81
770.6,2.89,6.53,3.73,34.6,2.62,2.13,62.97
3289.64,3.52,2.55,3.28,51.9,19.63,2.04,60.78
1250.17,3.1,4.79,0.61,37,6.87,1.92,66.87
2801.37,3.45,2.37,1.97,36.9,4.37,1.87,64.26
1479.35,3.17,7.69,1.27,49.4,12.48,1.68,63.66
475.95,2.68,10.99,1.52,14.7,1.61,1.57,52.81
2027.78,3.31,3.89,2.59,75.7,12.09,4,54.33
560.81,2.75,3.3,3.23,67.9,3,4,60.37
10005.62,4,3,3.65,62.2,1.35,4,58.4
1482.21,3.17,3.2,2.06,57.2,5.08,4,67.11
1670.2,3.22,4.58,2.78,51.4,3.05,4,64.7
1428.29,3.15,4.59,2.24,49.7,3,4,64.12
825.87,2.92,4.51,2.39,42,3,4,65.1
2569.09,3.41,2.25,1.55,37.6,2.04,4,67.61
