GDP_per_capita,HealthExpenditure_percentofGDP,Population_Growth,Infant_Mortality_per1000livebirth,Inflation_ConsumerPrices_percent,Current_education_expenditure_percentofGDP,Life_expectancy_Birth_inyears
23052.3,6.69,0.35,2,3.44,5.24,78.24
43646.95,10,0.61,3.7,2.29,5.24,81.26
1953.51,6.27,1.89,24.2,7.86,5.24,70.17
51461.43,10.33,0.49,2.9,2,5.23,81.69
16521.21,4.13,3.45,9.8,0.88,5.21,77.63
57180.78,9.28,1.54,3.1,1.91,5.11,82.75
238.78,7.74,3.17,41.2,-2.81,5.08,61.25
771.52,3.3,2.62,37.9,13.83,5.07,66.24
47950.18,11.43,0.3,3.3,1.73,4.99,80.89
1573.22,6.01,2.67,44.86,4.72,4.95,63.65
11795.16,9.62,1.02,8.7,,4.95,76.52
26104.1,8.3,0.36,1.7,1.74,4.94,81.38
45227.96,12.46,0.47,4.4,1.83,4.9,80.79
39370.28,12.45,0.59,6.09,1.93,4.9,80.1
86388.4,11.88,0.74,3.6,0.94,4.86,83.75
1458.07,3.98,2.78,33.6,0.46,4.86,67.67
6317.41,3.42,0.68,21.6,4.08,4.84,67.34
11208.34,5.83,0.05,13.7,3.22,4.83,74.42
40038.19,10.14,0.22,3.18,1.7,4.81,82.06
1516.37,4.93,2.91,43.4,7.49,4.74,63.51
25290.33,9.3,0.37,7.3,2.01,4.68,77.91
23551.05,9.41,-0.16,3,0.99,4.68,81.32
11287.36,5.32,-0.01,5.4,2.88,4.68,72.66
18703.86,9.2,0.37,6.5,7.61,4.66,77.77
35737.3,9.86,0.16,3.38,1.74,4.63,81.03
16427.37,6.7,-0.13,3.3,2.85,4.63,76.07
6295.93,8.14,1.77,12.3,-0.22,4.62,76.8
4187.5,5.21,0.39,13.3,4.2,4.53,73.19
15994.82,5.11,0.95,12.5,3.7,4.5,72.84
11380.08,3.76,1.35,7.2,0.88,4.48,76
33422.94,7.56,0.48,2.8,1.48,4.46,82.63
6729.58,7.64,1.52,12.2,3.24,4.45,77.11
6145.82,5.94,0.49,25.2,1.28,4.45,69.77
1178.53,5.84,1.66,26.5,4.06,4.43,70.48
10234.21,6.37,0.6,15.02,1.28,4.35,73.64
9454.35,4.12,1.5,9.2,16.33,4.29,77.44
16045.95,6.61,-0.2,4.17,2.53,4.27,76.98
23419.74,7.65,0.33,2.5,2.15,4.27,79.03
34605.26,8.67,-0.19,2.8,1.14,4.26,83.35
11345.18,9.86,1.11,29,2.44,4.26,72.57
8905.58,7.97,0.93,14.3,2.38,4.25,75.44
17856.31,6.19,-0.78,3.3,2.53,4.25,74.78
9686.98,5.37,1.13,12.6,4.9,4.25,74.99
30349.75,8.98,0.44,2.6,1.68,4.18,83.43
2566.45,5.92,0.99,16.3,3.54,4.17,75.32
9468.93,5.82,0.66,11.8,2.61,4.09,75.75
901.52,6.17,2.45,47,0.93,4.04,60.76
2260.86,3.54,2.19,35,7.81,4,63.78
2267.55,4.1,1.42,37.7,3.95,3.98,68.87
5401.5,5.41,1.09,27.63,3.2,3.98,71.86
19380.51,6.69,0.14,4.8,2.51,3.98,77.27
